bids_name	rating	site	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-004_T1w	0	SHIP	0.48924959152597	2.73228656778537	0.57935858462003	14688.6452566514	3.72693	3.58919	3.97218	3.61942	0.276925392176134	0.32476074386924	0.398313863954624	0.456858903169631	0.0822669267654419	0.00175373103081392	0.00243435300996769	14.0337885866963	9.95387541180378	10.1852551345586	176	256	176	3.63335656220806	13.9024729587652	11.9680858270156	18.3684279600734	22.1065517768489	57.4993770079028	51.0705617073473	73.6057563372903	1	1	1	5.41729492556365	8.90181465218777	12.7474299791889	6.00418274104595	2041706	0	48.7333877254277	17.1195479472719	1.71655720693967	68.7640176784167	307.458307162853	300.377793870866	100818	185.724888607859	455.272216044366	82.6718487495292	0.211930893862272	54.7111529746821	779.112999187005	781.285846337676	10970	684.709578888863	868.447690173983	56.1950552057746	0.527059676052663	52.3606738249471	1005.00425942659	1000.13493411242	185258	924.807739235088	1101.9361898005	54.4484392992023	0.171806757797757	0.373188254562026	0.484402719948021	0.48710366354526
sub-010_T1w	0	SHIP	0.410418041518741	3.37664562003845	0.586394091177684	33378.7526492214	3.59479333333333	3.39952	3.90242	3.48244	0.183944627759117	0.39054173755548	0.425513634685401	0.301245301961898	0.0406109243631362	0.0	0.00466734765182044	16.7400734337752	7.96788003502987	8.74714595864168	176	256	176	2.70827892408757	13.3351109713498	12.7189394078626	22.1134283281506	35.0085201397601	92.3535024370952	83.2580817425328	122.412222650743	1	1	1	6.92974048236482	5.3521988351316	4.86540313606874	3.61000325530767	2165015	0	18.6905007250607	6.53132676559993	5.10680365458103	82.7432674753813	298.336476454299	286.005419194698	36357	147.893681749701	498.273610606789	105.602670142871	-0.128919032330398	58.0109293098135	755.339175198492	754.490680359304	29983	663.512775739654	849.107701163739	56.5783141888292	0.567693134155153	42.7744277872211	1002.99290594302	1000.05824050866	280061	934.175681099295	1082.18581456691	45.2239444846579	0.179214717508601	0.448654249647621	0.528050826167556	0.585126134873183
sub-025_T1w	0	SHIP	0.417318421068465	3.32914540010075	0.597023179455469	60210.142544773	3.70327333333333	3.59519	3.96207	3.55256	0.188879728011738	0.383136439029139	0.427983832959122	0.264567926526069	0.040407072007656	0.0	0.00543472697566898	16.5423131438006	8.19481052321424	8.75034077298485	176	256	176	2.10297284509939	13.840606386397	12.7619220717249	22.3421869836782	25.126606419847	79.4051004117804	69.5462518244485	104.107048641718	1	1	1	10.7999653389254	0.0	3.90282947195158	0.0	1480070	0	16.0877931118011	6.29345332543199	35.7949653462326	68.4887335634502	260.34289589504	241.374353080987	52377	139.360507830977	459.593775361776	114.776588499792	0.00851089302121055	55.6257997723047	763.172950091295	762.791219115257	32370	673.315797621756	853.715978398919	55.111706478041	0.462567876633115	43.4017534211168	1002.95907529068	1000.08616751432	300476	935.074246421456	1080.72623048722	44.7621579782561	0.179263615237733	0.44473247055541	0.520379743001266	0.569837761483064
sub-030_T1w	0	SHIP	0.436021660575143	3.14895469528155	0.567827594196333	43001.1504516601	3.41874999999999	3.29147	3.71746	3.24732	0.198440005580934	0.388336169663625	0.41322382475544	0.317804664373397	0.041406762599945	0.0	0.00617208666133065	17.8282728572401	9.08395022608032	10.2187008772044	176	256	176	2.42442812005787	13.2318032995954	12.1537994440116	20.8051669123815	44.1806600092984	112.90486135675	101.710497424981	148.045970908895	1	1	1	10.6160729484886	4.42556423015759	4.68736603681157	2.98499771207571	2386898	0	18.887830350548	7.07287403069148	8.93967550559611	99.4988923469914	311.949488611831	298.448305729776	30389	137.721618577837	527.665250730514	123.098471245335	0.0191706998770482	58.1809090602614	762.928809621668	762.692648174241	20888	668.639487504959	857.354388118442	57.6394897935884	0.675287507655644	45.3238819433381	1003.14305208012	1000.07716450095	227734	929.955451006069	1087.23395114578	48.068586663923	0.181540096953088	0.44539381228612	0.518942674642098	0.648943911160265
sub-037_T1w	0	SHIP	0.483053354400321	2.86242578050699	0.632163945549708	19353.2973569198	3.75666999999999	3.69458	3.94944	3.62599	0.279496874442088	0.323268461233076	0.397234664324834	0.500510036945343	0.120598492026329	0.0	0.00398873234588874	12.178682524308	8.76456449517414	8.96849508252025	176	256	176	3.13615847220799	12.8873777996384	11.3946960167208	18.1605517783161	20.7790749975219	58.9106488914846	52.1827409123218	76.8584988479588	1	1	1	7.96072890306018	8.52480950077186	6.7127561405493	5.74989663064479	1044629	0	25.5818754285573	9.29003826316239	9.62582693498451	64.1147349279608	279.448152683706	270.382863715291	117787	154.076571390032	438.369364678859	86.2143027359794	0.159540744586133	58.4995909454165	765.24516500193	766.561069369316	11523	663.720552925765	859.795471082627	59.4789582758587	0.294657884038139	54.313756340247	1003.19015245205	1000.10327802598	193360	918.81282326579	1098.29911749064	55.0699507434285	0.164980561992596	0.377401506006074	0.450176512752183	0.477212985476769
sub-048_T1w	0	SHIP	0.497547779755577	2.82211479045057	0.589425818764195	31001.6987585912	3.46906	3.33736	3.73029	3.33953	0.180690735716422	0.369854363120752	0.449454901162824	0.296423733234405	0.065019291639328	0.0	0.0049800091992135	17.9562100346004	8.49587764309535	8.52532782477911	176	256	176	1.40069131730526	14.091674379547	11.5775980022341	19.2404283098501	32.4080852940959	87.961455344248	77.5169531112577	112.181318695429	1	1	1	7.66951990419722	5.84050049562686	5.59099779299581	3.93935772031545	1704189	0	20.9800642225891	7.44532563310923	17.146022045166	99.5539857209125	332.265662835803	288.916076442226	34232	143.265785638336	600.659537128917	206.263759096114	0.112465456337017	55.9714630830908	783.789596732051	784.170935295522	18365	691.333405020088	873.934572804346	55.6463032199744	0.267532639013867	51.4583490637427	1004.60242222746	1000.08951943553	265864	927.808273991569	1097.11112510785	51.9784498816291	0.177217041868908	0.432775698401365	0.50860855898877	0.556678953466485
sub-078_T1w	0	SHIP	0.454731389102955	3.04123639355172	0.54782682173635	32727.5931360946	3.71641333333333	3.5362	3.98057	3.63247	0.196697061664678	0.37384558492378	0.429457353411541	0.262662589550018	0.0369246490299701	0.0	0.00458831809784712	18.5443440546774	9.4160536863002	9.90744525547445	176	256	176	2.66826965580396	13.1389161677159	12.6890229013298	22.2598828804695	32.7568069094579	98.3530492169587	86.0689472473301	127.096985615573	1	1	1	14.4304663407669	5.15505510324626	4.86522624608078	3.4770318288356	1932553	0	16.9611308723688	6.56641610785973	9.29274783001938	66.5546951541062	272.427588422529	257.752652157098	46168	153.970319204218	463.434632536023	96.5981305963512	-0.0865004765224988	59.9746654694747	773.16756058317	773.908133154735	22356	674.883397411555	867.554776983801	58.9006592589661	0.564501758752928	42.874970492853	1003.62711741123	1000.08481333777	248400	936.169618500396	1082.71378923766	44.9275859020819	0.172193777153718	0.43382473570084	0.516483578113643	0.609407121698559
sub-079_T1w	1	SHIP	0.407920389400988	3.38599648726925	0.538595658769744	27516.665898491	3.67103333333333	3.51172	3.9363	3.56508	0.254773687558076	0.377253675100851	0.367972637341071	0.349913626909256	0.0433500230312347	0.0	0.0041497978660622	16.857566199694	10.6069272454776	12.6455058242919	176	256	176	2.79274089407082	13.5251977129286	13.0238215539844	22.7535260549539	28.6804506573063	82.1998746065509	73.1170868140437	108.470935178273	1	1	1	9.9528078521644	6.04010070856108	4.90491682596733	4.07398601807653	2001230	0	17.9314859043806	6.75936757903134	28.2819590883986	69.3509373326027	275.766164583239	264.422508560121	69386	153.562509469687	448.294581890571	94.6813947792125	0.0559722909136417	56.5653226940428	757.397285674179	757.850610734894	17323	664.303565365076	846.137158830277	56.0308804638881	0.448809695326803	42.2366166335877	1002.36013547	1000.05948750302	169855	934.459391474723	1078.38707269728	43.9517172512512	0.166697511523857	0.452188188577791	0.517288357350038	0.570269935824276
sub-083_T1w	0	SHIP	0.452021540829401	3.04456727246276	0.536516647862246	33278.9524459048	3.54617999999999	3.43236	3.79062	3.41556	0.219072080458727	0.361731073709098	0.419196845832173	0.321549385786056	0.0464919686317443	0.0	0.00416228389723878	17.7428736239422	10.1993597526597	10.8573690895908	176	256	176	2.56642189060417	13.583996946335	12.5793362672098	21.5875899646905	33.9710864373584	90.4404732992047	80.358600177514	116.664240795979	1	1	1	8.58450895678911	5.61609035321429	4.9650169478849	3.78799537941813	2009253	0	18.2624492682516	6.9579963503416	0.960874637555243	100.17644093457	308.870118563948	291.213693559169	35390	151.502876986004	522.931222293153	113.469098843893	0.0620897556715536	56.0467553542321	772.62819209021	775.291786009445	16666	674.186185760423	862.762142728082	57.0721952485219	0.352534280492371	45.5679526220151	1002.9386864891	1000.09237358719	220499	932.401204124093	1083.21269496157	46.3270845623323	0.169159101353077	0.430154697908083	0.511607274285517	0.540242888038595
sub-087_T1w	0	SHIP	0.496704289347368	2.76153489050083	0.547796678376323	22163.765625	3.61187999999999	3.53177	3.81359	3.49028	0.229543210696229	0.349234344932007	0.421222444371763	0.331207290291786	0.0668368741869925	0.0	0.00354582640847852	20.2213495987158	12.0979707249582	12.3092824550486	176	256	176	2.65250053752281	14.2052435016738	12.0719031077348	19.3579652840079	27.6092412961622	74.8131170076458	65.7370919315871	94.7889174909534	1	1	1	7.36427889443002	6.9122673201446	6.31735217489425	4.66225345805287	1814959	0	22.2435756586492	8.26035777909476	3.4726850216493	94.3445341100653	304.812348737812	291.30186682567	35681	148.337957352399	513.274957038462	109.820066252851	0.0761683672380799	55.2981385611568	787.876496823232	789.344423253089	13861	695.174021344631	876.468060392886	55.565112211722	0.447983861506011	49.3884138294301	1005.97049704631	1000.10675133392	177178	931.454179421067	1100.39858526363	51.6636905963511	0.172994691114036	0.437859962602339	0.5232888138533	0.474325353163579
